name                          	abilities.0          	abilities.1         	abilities.2       	abilities.3      	abilities.4      	abilities.5     	description                                                                                                                                                                     	evolution.0                   	evolution.1     	evolution.2     	evolution.3     	gen     	height     	id      	species                   	stats.attack     	stats.defense     	stats.hp     	stats.sp.atk     	stats.sp.def     	stats.speed     	stats.total     	type.0       	type.1       	weight       
Ivysaur                       	Overgrow             	Chlorophyll         	                  	                 	                 	                	When the bud on its back starts swelling, a sweet aroma wafts to indicate the flowers coming bloom.                                                                             	Bulbasaur                     	Ivysaur         	Venusaur        	                	1       	0.99m      	002     	Seed Pokemon              	62               	63                	60           	80               	80               	60              	405             	Grass        	Poison       	13.0 kg      
Jangmo-o                      	Bulletproof          	Soundproof          	Overcoat          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.6m       	782     	Scaly Pokemon             	55               	65                	45           	45               	45               	45              	300             	Dragon       	             	29.7 kg      
Jellicent                     	Water Absorb         	Cursed Body         	Damp              	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	2.2m       	593     	Floating Pokemon          	60               	70                	100          	85               	105              	60              	480             	Water        	Ghost        	135 kg       
Jigglypuff                    	Competitive          	Cute Charm          	Friend Guard      	                 	                 	                	Looking into its cute, round eyes makes it start singing a song so pleasant listeners cant help but fall asleep.                                                                	Jigglypuff                    	Wigglytuff      	                	                	1       	0.51m      	039     	Balloon Pokemon           	45               	20                	115          	45               	25               	20              	270             	Normal       	Fairy        	5.5 kg       
Jirachi                       	Serene Grace         	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.3m       	385     	Wish Pokemon              	100              	100               	100          	100              	100              	100             	600             	Steel        	Psychic      	1.1 kg       
Jolteon                       	Volt Absorb          	Quick Feet          	                  	                 	                 	                	By storing electricity in its body, it can shoot its bristlelike fur like a barrage of missiles.                                                                                	Vaporeon                      	Jolteon         	Flareon         	Eevee           	1       	0.79m      	135     	Lightning Pokemon         	65               	60                	65           	110              	95               	130             	525             	Electric     	             	24.5 kg      
Joltik                        	Compoundeyes         	Unnerve             	Swarm             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.1m       	595     	Attaching Pokemon         	47               	50                	50           	57               	50               	65              	319             	Bug          	Electric     	0.6 kg       
Jumpluff                      	Chlorophyll          	Leaf Guard          	Infiltrator       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.8m       	189     	Cottonweed Pokemon        	55               	70                	75           	55               	95               	110             	460             	Grass        	Flying       	3 kg         
Jynx                          	Forewarn             	Oblivious           	Dry Skin          	                 	                 	                	Its cries sound like human speech. However, it is impossible to tell what it is trying to say.                                                                                  	Jynx                          	                	                	                	1       	1.40m      	124     	Human Shape Pokemon       	50               	35                	65           	115              	95               	95              	455             	Ice          	Psychic      	40.6 kg      
Kabuto                        	Battle Armor         	Swift Swim          	Weak Armor        	                 	                 	                	It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.                                                                                	Kabuto                        	Kabutops        	                	                	1       	0.51m      	140     	Shellfish Pokemon         	80               	90                	30           	55               	45               	55              	355             	Rock         	Water        	11.5 kg      
Kabutops                      	Battle Armor         	Swift Swim          	Weak Armor        	                 	                 	                	It is thought that this Pokemon came onto land because its prey adapted to life on land.                                                                                        	Kabuto                        	Kabutops        	                	                	1       	1.30m      	141     	Shellfish Pokemon         	115              	105               	60           	65               	70               	80              	495             	Rock         	Water        	40.5 kg      
Kadabra                       	Inner Focus          	Synchronize         	Magic Guard       	                 	                 	                	It stares at its silver spoon to focus its mind. It emits more alpha waves while doing so.                                                                                      	Abra                          	Kadabra         	Alakazam        	                	1       	1.30m      	064     	Psi Pokemon               	35               	30                	40           	120              	70               	105             	400             	Psychic      	             	56.5 kg      
Kakuna                        	Shed Skin            	                    	                  	                 	                 	                	While awaiting evolution, it hides from predators under leaves and in nooks of branches.                                                                                        	Weedle                        	Kakuna          	Beedrill        	                	1       	0.61m      	014     	Cocoon Pokemon            	25               	50                	45           	25               	25               	35              	205             	Bug          	Poison       	10.0 kg      
Kangaskhan                    	Early Bird           	Scrappy             	Inner Focus       	                 	                 	                	It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.                                                                               	                              	                	                	                	1       	2.21m      	115     	Parent Pokemon            	95               	80                	105          	40               	80               	90              	490             	Normal       	             	80.0 kg      
Karrablast                    	Swarm                	Shed Skin           	No Guard          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.5m       	588     	Clamping Pokemon          	75               	45                	50           	40               	45               	60              	315             	Bug          	             	5.9 kg       
Kartana                       	Beast Boost          	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.3m       	798     	Drawn Sword Pokemon       	181              	131               	59           	59               	31               	109             	570             	Grass        	Steel        	0.1 kg       
Kecleon                       	Color Change         	Protean             	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1m         	352     	Color Swap Pokemon        	90               	70                	60           	60               	120              	40              	440             	Normal       	             	22 kg        
Keldeo                        	Justified            	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.4m       	647     	Colt Pokemon              	72               	90                	91           	129              	90               	108             	580             	Water        	Fighting     	48.5 kg      
Kingdra                       	Swift Swim           	Sniper              	Damp              	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.8m       	230     	Dragon Pokemon            	95               	95                	75           	95               	95               	85              	540             	Water        	Dragon       	152 kg       
Kingler                       	Hyper Cutter         	Shell Armor         	Sheer Force       	                 	                 	                	The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim.                                                                             	Krabby                        	Kingler         	                	                	1       	1.30m      	099     	Pincer Pokemon            	130              	115               	55           	50               	50               	75              	475             	Water        	             	60.0 kg      
Kirlia                        	Synchronize          	Trace               	Telepathy         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.8m       	281     	Emotion Pokemon           	35               	35                	38           	65               	55               	50              	278             	Psychic      	Fairy        	20.2 kg      
Klang                         	Plus                 	Minus               	Clear Body        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.6m       	600     	Gear Pokemon              	80               	95                	60           	70               	85               	50              	440             	Steel        	             	51 kg        
Klefki                        	Prankster            	Magician            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.2m       	707     	Key Ring Pokemon          	80               	91                	57           	80               	87               	75              	470             	Steel        	Fairy        	3 kg         
Klink                         	Plus                 	Minus               	Clear Body        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.3m       	599     	Gear Pokemon              	55               	70                	40           	45               	60               	30              	300             	Steel        	             	21 kg        
Klinklang                     	Plus                 	Minus               	Clear Body        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.6m       	601     	Gear Pokemon              	100              	115               	60           	70               	85               	90              	520             	Steel        	             	81 kg        
Koffing                       	Levitate             	                    	                  	                 	                 	                	Toxic gas is held within its thin, balloon-shaped body, so it can cause massive explosions.                                                                                     	Koffing                       	Weezing         	                	                	1       	0.61m      	109     	Poison Gas Pokemon        	65               	95                	40           	60               	45               	35              	340             	Poison       	             	1.0 kg       
Komala                        	Comatose             	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.4m       	775     	Drowsing Pokemon          	115              	65                	65           	75               	95               	65              	480             	Normal       	             	19.9 kg      
Kommo-o                       	Bulletproof          	Soundproof          	Overcoat          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	1.6m       	784     	Scaly Pokemon             	110              	125               	75           	100              	105              	85              	600             	Dragon       	Fighting     	78.2 kg      
Krabby                        	Hyper Cutter         	Shell Armor         	Sheer Force       	                 	                 	                	It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.                                                                             	Krabby                        	Kingler         	                	                	1       	0.41m      	098     	River Crab Pokemon        	105              	90                	30           	25               	25               	50              	325             	Water        	             	6.5 kg       
Kricketot                     	Shed Skin            	Run Away            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.3m       	401     	Cricket Pokemon           	25               	41                	37           	25               	41               	25              	194             	Bug          	             	2.2 kg       
Kricketune                    	Swarm                	Technician          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1m         	402     	Cricket Pokemon           	85               	51                	77           	55               	51               	65              	384             	Bug          	             	25.5 kg      
Krokorok                      	Intimidate           	Moxie               	Anger Point       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1m         	552     	Desert Croc Pokemon       	82               	45                	60           	45               	45               	74              	351             	Ground       	Dark         	33.4 kg      
Krookodile                    	Intimidate           	Moxie               	Anger Point       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.5m       	553     	Intimidation Pokemon      	117              	80                	95           	65               	70               	92              	519             	Ground       	Dark         	96.3 kg      
Kyogre                        	Drizzle              	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	4.5m       	382     	Sea Basin Pokemon         	150              	90                	100          	180              	160              	90              	770             	Water        	             	352 kg       
Kyurem                        	Pressure             	Teravolt            	Turboblaze        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	3m         	646     	Boundary Pokemon          	120              	90                	125          	170              	100              	95              	700             	Dragon       	Ice          	325 kg       
Lairon                        	Sturdy               	Rock Head           	Heavy Metal       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.9m       	305     	Iron Armor Pokemon        	90               	140               	60           	50               	50               	40              	430             	Steel        	Rock         	120 kg       
Lampent                       	Flash Fire           	Flame Body          	Infiltrator       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.6m       	608     	Lamp Pokemon              	40               	60                	60           	95               	60               	55              	370             	Ghost        	Fire         	13 kg        
Landorus                      	Sand Force           	Sheer Force         	Intimidate        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.5m       	645     	Abundance Pokemon         	145              	90                	89           	105              	80               	91              	600             	Ground       	Flying       	68 kg        
Lanturn                       	Volt Absorb          	Illuminate          	Water Absorb      	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.2m       	171     	Light Pokemon             	58               	58                	125          	76               	76               	67              	460             	Water        	Electric     	22.5 kg      
Lapras                        	Shell Armor          	Water Absorb        	Hydration         	                 	                 	                	Able to understand human speech and very intelligent, it loves to swim in the sea with people on its back.                                                                      	                              	                	                	                	1       	2.49m      	131     	Transport Pokemon         	85               	80                	130          	85               	95               	60              	535             	Water        	Ice          	220.0 kg     
Larvesta                      	Flame Body           	Swarm               	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.1m       	636     	Torch Pokemon             	85               	55                	55           	50               	55               	60              	360             	Bug          	Fire         	28.8 kg      
Larvitar                      	Guts                 	Sand Veil           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.6m       	246     	Rock Skin Pokemon         	64               	50                	50           	45               	50               	41              	300             	Rock         	Ground       	72 kg        
Latias                        	Levitate             	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.4m       	380     	Eon Pokemon               	100              	120               	80           	140              	150              	110             	700             	Dragon       	Psychic      	40 kg        
Latios                        	Levitate             	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	2m         	381     	Eon Pokemon               	130              	100               	80           	160              	120              	110             	700             	Dragon       	Psychic      	60 kg        
Leafeon                       	Leaf Guard           	Chlorophyll         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1m         	470     	Verdant Pokemon           	110              	130               	65           	60               	65               	95              	525             	Grass        	             	25.5 kg      
Leavanny                      	Swarm                	Chlorophyll         	Overcoat          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.2m       	542     	Nurturing Pokemon         	103              	80                	75           	70               	80               	92              	500             	Bug          	Grass        	20.5 kg      
Ledian                        	Swarm                	Early Bird          	Iron Fist         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.4m       	166     	Five Star Pokemon         	35               	50                	55           	55               	110              	85              	390             	Bug          	Flying       	35.6 kg      
Ledyba                        	Swarm                	Early Bird          	Rattled           	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1m         	165     	Five Star Pokemon         	20               	30                	40           	40               	80               	55              	265             	Bug          	Flying       	10.8 kg      
Lickilicky                    	Own Tempo            	Oblivious           	Cloud Nine        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.7m       	463     	Licking Pokemon           	85               	95                	110          	80               	95               	50              	515             	Normal       	             	140 kg       
Lickitung                     	Oblivious            	Own Tempo           	Cloud Nine        	                 	                 	                	Being licked by its long, saliva-covered tongue leaves a tingling sensation. Extending its tongue retracts its tail.                                                            	Lickitung                     	                	                	                	1       	1.19m      	108     	Licking Pokemon           	55               	75                	90           	60               	75               	30              	385             	Normal       	             	65.5 kg      
Liepard                       	Limber               	Unburden            	Prankster         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.1m       	510     	Cruel Pokemon             	88               	50                	64           	88               	50               	106             	446             	Dark         	             	37.5 kg      
Lileep                        	Suction Cups         	Storm Drain         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1m         	345     	Sea Lily Pokemon          	41               	77                	66           	61               	87               	23              	355             	Rock         	Grass        	23.8 kg      
Lilligant                     	Chlorophyll          	Own Tempo           	Leaf Guard        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.1m       	549     	Flowering Pokemon         	60               	75                	70           	110              	75               	90              	480             	Grass        	             	16.3 kg      
Lillipup                      	Vital Spirit         	Pickup              	Run Away          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.4m       	506     	Puppy Pokemon             	60               	45                	45           	25               	45               	55              	275             	Normal       	             	4.1 kg       
Linoone                       	Pickup               	Gluttony            	Quick Feet        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.5m       	264     	Rush Pokemon              	70               	61                	78           	50               	61               	100             	420             	Normal       	             	32.5 kg      
Litleo                        	Rivalry              	Unnerve             	Moxie             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.6m       	667     	Lion Cub Pokemon          	50               	58                	62           	73               	54               	72              	369             	Fire         	Normal       	13.5 kg      
Litten                        	Blaze                	Intimidate          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.4m       	725     	Fire Cat Pokemon          	65               	40                	45           	60               	40               	70              	320             	Fire         	             	4.3 kg       
Litwick                       	Flash Fire           	Flame Body          	Infiltrator       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.3m       	607     	Candle Pokemon            	30               	55                	50           	65               	55               	20              	275             	Ghost        	Fire         	3.1 kg       
Lombre                        	Swift Swim           	Rain Dish           	Own Tempo         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.2m       	271     	Jolly Pokemon             	50               	50                	60           	60               	70               	50              	340             	Water        	Grass        	32.5 kg      
Lopunny                       	Cute Charm           	Klutz               	Limber            	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.2m       	428     	Rabbit Pokemon            	136              	94                	65           	54               	96               	135             	580             	Normal       	             	33.3 kg      
Lotad                         	Swift Swim           	Rain Dish           	Own Tempo         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.5m       	270     	Water Weed Pokemon        	30               	30                	40           	40               	50               	30              	220             	Water        	Grass        	2.6 kg       
Loudred                       	Soundproof           	Scrappy             	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1m         	294     	Big Voice Pokemon         	71               	43                	84           	71               	43               	48              	360             	Normal       	             	40.5 kg      
Lucario                       	Steadfast            	Inner Focus         	Justified         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.2m       	448     	Aura Pokemon              	145              	88                	70           	140              	70               	112             	625             	Fighting     	Steel        	54 kg        
Ludicolo                      	Swift Swim           	Rain Dish           	Own Tempo         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.5m       	272     	Carefree Pokemon          	70               	70                	80           	90               	100              	70              	480             	Water        	Grass        	55 kg        
Lugia                         	Pressure             	Multiscale          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	5.2m       	249     	Diving Pokemon            	90               	130               	106          	90               	154              	110             	680             	Psychic      	Flying       	216 kg       
Lumineon                      	Swift Swim           	Storm Drain         	Water Veil        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.2m       	457     	Neon Pokemon              	69               	76                	69           	69               	86               	91              	460             	Water        	             	24 kg        
Lunala                        	Shadow Shield        	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	4m         	792     	Moone Pokemon             	113              	89                	137          	137              	107              	97              	680             	Psychic      	Ghost        	120 kg       
Lunatone                      	Levitate             	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1m         	337     	Meteorite Pokemon         	55               	65                	90           	95               	85               	70              	460             	Rock         	Psychic      	168 kg       
Lurantis                      	Leaf Guard           	Contrary            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.9m       	754     	Bloom Sickle Pokemon      	105              	90                	70           	80               	90               	45              	480             	Grass        	             	18.5 kg      
Luvdisc                       	Swift Swim           	Hydration           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.6m       	370     	Rendezvous Pokemon        	30               	55                	43           	40               	65               	97              	330             	Water        	             	8.7 kg       
Luxio                         	Rivalry              	Intimidate          	Guts              	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.9m       	404     	Spark Pokemon             	85               	49                	60           	60               	49               	60              	363             	Electric     	             	30.5 kg      
Luxray                        	Rivalry              	Intimidate          	Guts              	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.4m       	405     	Gleam Eyes Pokemon        	120              	79                	80           	95               	79               	70              	523             	Electric     	             	42 kg        
